Wavelength - Plot 0	Volt - Plot 0	
603,96	0,0003875	
603,99	0,00038505	
604,02	0,00038893	
604,05	0,00038873	
604,08	0,00038832	
604,11	0,00038648	
604,14	0,0003875	
604,17	0,00038832	
604,2	0,00038832	
604,23	0,00038648	
604,26	0,00038689	
604,29	0,00038689	
604,32	0,00038505	
604,35	0,00038914	
604,38	0,00038587	
604,41	0,0003875	
604,44	0,00038567	
604,47	0,00038934	
604,5	0,00038669	
604,53	0,00038485	
604,56	0,00038689	
604,59	0,00038403	
604,62	0,00038424	
604,65	0,00038628	
604,68	0,00038648	
604,71	0,00038587	
604,74	0,00038505	
604,77	0,00038424	
604,8	0,00038567	
604,83	0,00038526	
604,86	0,00038587	
604,89	0,00038689	
604,92	0,00038464	
604,95	0,00038464	
604,98	0,00038485	
605,01	0,00038362	
605,04	0,00038362	
605,07	0,00038485	
605,1	0,00038362	
605,13	0,00038567	
605,16	0,00038281	
605,19	0,00038383	
605,22	0,00038464	
605,25	0,00038424	
605,28	0,00038424	
605,31	0,00038301	
605,34	0,00038301	
605,37	0,00038505	
605,4	0,00038158	
605,43	0,00038505	
605,46	0,00038158	
605,49	0,00038301	
605,52	0,00038403	
605,55	0,0003826	
605,58	0,00038424	
605,61	0,00038628	
605,64	0,00038403	
605,67	0,00038464	
605,7	0,00038526	
605,73	0,00038526	
605,76	0,00038342	
605,79	0,00038321	
605,82	0,00038403	
605,85	0,00038669	
605,88	0,00038505	
605,91	0,00038321	
605,94	0,00038464	
605,97	0,00038464	
606	0,00038362	
606,03	0,0003824	
606,06	0,00038383	
606,09	0,00038362	
606,12	0,00038362	
606,15	0,00038301	
606,18	0,00038138	
606,21	0,00038199	
606,24	0,00038362	
606,27	0,0003826	
606,3	0,00038178	
606,33	0,00038199	
606,36	0,00038281	
606,39	0,00038536	
606,42	0,00038301	
606,45	0,00038444	
606,48	0,00038281	
606,51	0,00038607	
606,54	0,00038362	
606,57	0,00038097	
606,6	0,00038464	
606,63	0,00038567	
606,66	0,00038158	
606,69	0,00038362	
606,72	0,00038567	
606,75	0,00038546	
606,78	0,00038362	
606,81	0,00038199	
606,84	0,00038321	
606,87	0,00038362	
606,9	0,00038199	
606,93	0,00038281	
606,96	0,00038219	
606,99	0,00038097	
607,02	0,0003824	
607,05	0,00037995	
607,08	0,00038281	
607,11	0,00038138	
607,14	0,00038342	
607,17	0,00038281	
607,2	0,00038097	
607,23	0,00038362	
607,26	0,0003826	
607,29	0,00038321	
607,32	0,00038362	
607,35	0,00038219	
607,38	0,00038424	
607,41	0,00038362	
607,44	0,00038076	
607,47	0,00038321	
607,5	0,00038219	
607,53	0,00038505	
607,56	0,00038342	
607,59	0,00038097	
607,62	0,00038342	
607,65	0,00038321	
607,68	0,0003824	
607,71	0,00038424	
607,74	0,00038281	
607,77	0,00038219	
607,8	0,00038403	
607,83	0,00038199	
607,86	0,00038321	
607,89	0,0003826	
607,92	0,00038301	
607,95	0,00038383	
607,98	0,00038158	
608,01	0,00038035	
608,04	0,00038342	
608,07	0,00038035	
608,1	0,0003824	
608,13	0,00038301	
608,16	0,00038281	
608,19	0,00038362	
